,listingAddress,unitNumber,listingId,rentAmount,rentType,bedrooms,bathrooms,housingType,dateAvailable,gmapLatitude,gmapLongitude,pets,air_conditioning,electricity_included,electronic_payments,furniture_included,heat_included,internet_included,kitchen_available,laundry_available,near_bus,osparking_available,osparking_included,psparking_available,water_included,faculty,ugrad,sabbatical,fa_sublet,sp_sublet,sum_sublet,short_term,graduate
1660,526 STEWART AVENUE,12,1688.0,770.0,Price per Person,1,1,Room to Rent,2018-12-16T05:00:00.000Z,42.4445965,-76.48981446253865,No,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0
1661,709 Stewart Avenue,,1689.0,1215.0,Price per Unit,1,1,Rent,2019-06-01T04:00:00.000Z,42.4501875,-76.49000679362074,No,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1662,709 Stewart Avenue,,1690.0,2485.0,Price per Unit,3,1,Rent,2019-06-01T04:00:00.000Z,42.4501875,-76.48986931937642,No,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1663,120 Westbourne Lane,,1691.0,1080.0,Price per Unit,studio,1,Rent,2019-06-01T04:00:00.000Z,42.45586710000001,-76.4869288,No,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1664,120 Westbourne Lane,,1692.0,1750.0,Price per Unit,3,1,Rent,2019-06-01T04:00:00.000Z,42.45586710000001,-76.48712020305277,No,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1665,210 LAKE STREET BLDG 5,5a,1693.0,790.0,Price per Person,2,1,Room to Rent,2019-01-02T05:00:00.000Z,42.45088399999999,-76.49342443340878,Yes,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
1666,105 Maple Ave,,1694.0,650.0,Price per Person,2,1,Room to Rent,2018-12-04T05:00:00.000Z,42.440955457052134,-76.4767444,Yes,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1667,"8 Country Club Rd, Apt 4",Apt 4,1695.0,705.0,Price per Person,2,1,Room to Rent,2019-02-18T05:00:00.000Z,42.45899892727961,-76.48441403809903,Yes,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1668,88 Village Circle,3,1696.0,690.0,Price per Unit,1,1,Rent,2018-11-01T04:00:00.000Z,42.5112731,-76.4684165,Yes,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
1669,304 THURSTON AVENUE (BLDG. B),,1697.0,3500.0,Price per Unit,4,2,Rent,2021-08-20T04:00:00.000Z,42.4540541,-76.48614118108986,Yes,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
1670,217 CAYUGA STREET S,3a,1698.0,1150.0,Price per Unit,1,1,Rent,2018-10-15T04:00:00.000Z,42.4377499,-76.49871639999999,Yes,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1671,220 Triphammer Rd.,15,1699.0,1255.0,Price per Unit,1,1,Rent,2020-06-15T04:00:00.000Z,42.45664,-76.4816446,Yes,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
1672,305 OAK AVENUE,,1700.0,710.0,Price per Person,10,4,Room to Rent,2019-01-01T05:00:00.000Z,42.4416515,-76.4813185,No,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1673,165 S. Main Street,,1701.0,950.0,Price per Unit,1,1,Rent,2018-11-27T05:00:00.000Z,42.59457922313241,-76.1830154,Yes,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1674,209 COLLEGE AVENUE,4,1702.0,855.0,Price per Person,3,1,Room to Rent,2019-01-01T05:00:00.000Z,42.43992410000001,-76.48483211344362,No,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
1675,702 Cayuga Heights RD,A,1703.0,1000.0,Price per Unit,2,1,Rent,2018-12-01T05:00:00.000Z,42.476707,-76.499543,No,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
1676,108 Pine Tree Rd.,,1704.0,1800.0,Price per Unit,3,1.5,Rent,2021-08-15T04:00:00.000Z,42.4232129,-76.461947,Yes,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
1677,120 VALENTINE PLACE,,1705.0,900.0,Price per Unit,1,1,Rent,2018-12-17T05:00:00.000Z,42.435668,-76.48622005006168,No,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0
1678,114 SUMMIT AVENUE,307,1706.0,1200.0,Price per Person,5,4,Share,2018-12-16T05:00:00.000Z,42.44205119999999,-76.4835549,No,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
1679,606 Winston Court,5,1707.0,1177.0,Price per Unit,3,1,Rent,2018-12-18T05:00:00.000Z,42.476300786275566,-76.45717662023776,Yes,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0
1680,106 VALENTINE PLACE,698,1708.0,1770.0,Price per Unit,1,1,Rent,2018-12-08T05:00:00.000Z,42.4363068,-76.48559248312557,No,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0
1681,114 SUMMIT AVENUE,307,1709.0,1200.0,Price per Person,5,4,Share,2018-12-15T05:00:00.000Z,42.44205119999999,-76.48323437500416,Yes,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
1682,222 Summerhill Drive,6,1710.0,1580.0,Price per Unit,2,2,Rent,2019-01-07T05:00:00.000Z,42.437465216622954,-76.46027529999999,Yes,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
1683,638 STEWART AVENUE,Apt F,1711.0,687.0,Price per Person,3,1,Rent,2019-01-01T05:00:00.000Z,42.447624,-76.4905802,No,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0
1684,320 DRYDEN ROAD,4L,1712.0,1000.0,Price per Person,3,1.5,Room to Rent,2019-01-02T05:00:00.000Z,42.44156599999999,-76.4826513,No,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1685,915 STATE STREET E,,1713.0,2350.0,Price per Unit,2,2,Rent,2021-08-08T04:00:00.000Z,42.436622,-76.4854524,No,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
1686,905 STATE STREET E,,1714.0,1750.0,Price per Unit,1,1,Rent,2019-07-25T04:00:00.000Z,42.4366935,-76.48586810731665,No,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
1687,106 VALENTINE PLACE,,1715.0,1695.0,Price per Unit,studio,1,Rent,2021-06-10T04:00:00.000Z,42.4363068,-76.48554451499874,No,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
1688,201 Wyckoff Ave,,1716.0,770.0,Price per Person,6,2,Rent,2021-06-10T04:00:00.000Z,42.4539193,-76.48349259999999,No,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
1689,300 Culver Rd,B,1717.0,1200.0,Price per Unit,2,1,Rent,2018-10-23T04:00:00.000Z,42.434724,-76.55086086695053,Yes,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0
1690,37 uptown road,17,1718.0,620.0,Price per Person,2,1,Room to Rent,2019-01-01T05:00:00.000Z,42.480683467106324,-76.47500699999999,Yes,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
1691,307 EDDY STREET,Apartment 4,1719.0,750.0,Price per Person,4,2.5,Room to Rent,2019-01-01T05:00:00.000Z,42.4411236,-76.48683863416132,No,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0
1692,171 State Street E,,1720.0,900.0,Price per Unit,2,1,Rent,2019-06-01T04:00:00.000Z,42.43969943734101,-76.49692739999999,No,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
1693,315 Summerhill Ln,Apt 2,1721.0,650.0,Price per Unit,3,2,Room to Rent,2018-12-12T05:00:00.000Z,42.4366893,-76.4605704,No,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0
1694,224 BRYANT AVENUE,3,1722.0,1350.0,Price per Unit,1,1,Rent,2019-08-15T04:00:00.000Z,42.439957171583,-76.48249538465575,No,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1695,301 EDDY STREET,APT 4,1723.0,750.0,Price per Person,5,2,Room to Rent,2018-12-16T05:00:00.000Z,42.44094518728185,-76.4873069,No,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1696,315 Summerhill Ln,Apt 2,1724.0,600.0,Price per Unit,3,2,Room to Rent,2018-12-12T05:00:00.000Z,42.4366893,-76.46069995622344,Yes,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
1697,307 EDDY STREET,Apt. 4,1725.0,750.0,Price per Person,4,2.5,Room to Rent,2018-12-21T05:00:00.000Z,42.4411236,-76.4869459095101,No,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
1698,133 Westview Lane,,1726.0,1600.0,Price per Unit,2,2,Rent,2018-10-25T04:00:00.000Z,42.426375,-76.46576278780665,No,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0
1699,123 anystreet,,1727.0,1000.0,Price per Unit,1,1,Rent,2018-10-25T04:00:00.000Z,42.4909053,-76.2971553,No,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
1700,325 DRYDEN ROAD,,1728.0,800.0,Price per Person,1,2,Room to Rent,2018-11-05T05:00:00.000Z,42.4411026,-76.4824028,No,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0
1701,602 Keith St,,1729.0,825.0,Price per Unit,3,2,Room to Rent,2021-02-02T05:00:00.000Z,42.4487737,-76.4414958,No,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
1702,153 whitetail drive,153 Whitetail drive,1730.0,2100.0,Price per Unit,4,2.5,Rent,2018-12-10T05:00:00.000Z,42.405147,-76.48312,No,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0
1703,119 STEWART AVENUE,#1,1731.0,735.0,Price per Unit,1,1,Room to Rent,2019-01-01T05:00:00.000Z,42.440588484122756,-76.4895411,No,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1704,113 LAKE STREET,,1732.0,2200.0,Price per Unit,3,1.5,Rent,2018-12-15T05:00:00.000Z,42.4507541,-76.4924776,No,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0
1705,203 Pine Tree Rd.,203A,1733.0,1290.0,Price per Unit,2,1,Rent,2019-01-01T05:00:00.000Z,42.43018729391352,-76.4620080116394,No,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0
1706,"121 Veteran's Pl, Ithaca, NY 14850","Build B, Apt 213B",1734.0,877.0,Price per Unit,1,1,Room to Rent,2018-12-18T05:00:00.000Z,42.43909821901715,-76.47309,Yes,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
1707,203 Pine Tree Rd.,2,1735.0,1390.0,Price per Unit,2,1,Rent,2018-11-01T04:00:00.000Z,42.4301117,-76.46182476732085,No,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1708,210 LAKE STREET BLDG 2,2G,1736.0,750.0,Price per Person,1,1,Room to Rent,2019-01-01T05:00:00.000Z,42.45088399999999,-76.49344035877738,No,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
1709,113 LAKE STREET,,1737.0,2100.0,Price per Unit,3,1.5,Rent,2018-12-15T05:00:00.000Z,42.4507541,-76.49266437419192,No,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0
1710,707 SENECA STREET E,3A,1738.0,980.0,Price per Person,3,1,Rent,2019-01-01T05:00:00.000Z,42.44070512682441,-76.4890247,No,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
1711,144 CAMPBELL AVENUE,,1739.0,700.0,Price per Person,1,1,Share,2019-01-02T05:00:00.000Z,42.4546886,-76.5244587,No,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0
1712,707 SENECA STREET E,3A,1740.0,875.0,Price per Person,3,1,Room to Rent,2019-01-01T05:00:00.000Z,42.440657538654676,-76.48926073439333,No,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1713,"505 Wyckoff, 2",2,1741.0,815.0,Price per Person,4,1,Room to Rent,2019-08-01T04:00:00.000Z,42.4565949,-76.4868305847479,No,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
1714,"505 Wyckoff, Apt 5",5,1742.0,815.0,Price per Person,2,1,Rent,2021-08-01T04:00:00.000Z,42.4565949,-76.48677422172145,No,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
1715,612-14 STEWART AVENUE,1,1743.0,570.0,Price per Person,5,2,Share,2018-12-06T05:00:00.000Z,42.4466731,-76.4905483,No,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
1716,506 DRYDEN ROAD,,1744.0,725.0,Price per Person,2,1,Rent,2020-06-05T04:00:00.000Z,42.4413001,-76.4801117,No,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
1717,111 OSMUN PLACE,2,1745.0,200.0,Price per Person,studio,1,Rent,2018-10-29T04:00:00.000Z,42.4419789,-76.4905124,Yes,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
1718,222-26 EDDY STREET,2,1746.0,100.0,Price per Unit,studio,1,Rent,2018-10-29T04:00:00.000Z,42.4405879,-76.4877114,Yes,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1719,210 LAKE STREET BLDG 2,apt 2G,1747.0,700.0,Price per Person,1,1,Room to Rent,2019-01-01T05:00:00.000Z,42.45088399999999,-76.49346811746511,No,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
1720,144 CAMPBELL AVENUE,,1748.0,700.0,Price per Person,1,1,Share,2019-01-01T05:00:00.000Z,42.4546886,-76.52446266811015,No,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0
1721,101-03 QUARRY STREET N,101 N. Quarry Street Apt A,1749.0,850.0,Price per Unit,2,1,Rent,2019-06-01T04:00:00.000Z,42.438827,-76.488276,No,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
1722,101-03 QUARRY STREET N,"101 N. Quarry Street, Apt B",1750.0,716.0,Price per Person,3,1,Rent,2019-06-01T04:00:00.000Z,42.438827,-76.48818623817797,No,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
1723,101-03 QUARRY STREET N,"101 N. Quarry Street, Apt C",1751.0,733.0,Price per Person,3,1,Rent,2019-06-01T04:00:00.000Z,42.438827,-76.48831345201866,No,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
1724,101-03 QUARRY STREET N,"103 N. Quarry Street, Apt B",1752.0,1750.0,Price per Unit,2,1,Rent,2019-08-01T04:00:00.000Z,42.438827,-76.48847759168774,No,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
1725,101-03 QUARRY STREET N,"103 N. Quarry Street, Apt C",1753.0,1675.0,Price per Unit,2,1,Rent,2019-06-01T04:00:00.000Z,42.438827,-76.48802674800989,No,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
1726,105 WORTH STREET,Apt #1,1754.0,2700.0,Price per Unit,3,1,Rent,2019-08-01T04:00:00.000Z,42.4386765,-76.4785173,No,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
1727,105 WORTH STREET,Apt #2,1755.0,1900.0,Price per Unit,3,1,Rent,2019-08-15T04:00:00.000Z,42.4386765,-76.47853179093642,No,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0
1728,127 COLLEGE AVENUE,Apt #1,1756.0,1725.0,Price per Unit,2,1,Rent,2019-06-01T04:00:00.000Z,42.43919676867748,-76.4848425,No,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
1729,127 COLLEGE AVENUE,Apt #3,1757.0,1950.0,Price per Unit,2,1,Rent,2019-06-01T04:00:00.000Z,42.43917997245265,-76.4848425,No,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
1730,127 COLLEGE AVENUE,Apt #6,1758.0,716.0,Price per Person,3,1,Rent,2019-06-01T04:00:00.000Z,42.439199568047805,-76.4848425,No,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
1731,504 STEWART AVENUE,Apt 1A,1759.0,2095.0,Price per Unit,2,1,Rent,2019-08-15T04:00:00.000Z,42.4436216,-76.4899025,No,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
1732,504 STEWART AVENUE,Apt #2,1760.0,1150.0,Price per Unit,1,1,Rent,2019-08-15T04:00:00.000Z,42.4436216,-76.49008919860064,No,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
1733,504 STEWART AVENUE,Apt #7,1761.0,1150.0,Price per Unit,1,1,Rent,2019-08-01T04:00:00.000Z,42.4436216,-76.48980041613336,No,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
1734,205 WYCKOFF AVENUE,,1762.0,795.0,Price per Person,1,1,Rent,2020-06-01T04:00:00.000Z,42.4544769,-76.48358777938475,No,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
1735,205 WYCKOFF AVENUE,,1763.0,795.0,Price per Person,3,1,Rent,2020-08-01T04:00:00.000Z,42.4544769,-76.48330352132086,No,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
1736,STATE STREET E,804,1764.0,710.0,Price per Person,9,2.5,Rent,2019-01-01T05:00:00.000Z,42.4366529,-76.4851516,No,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
1737,309 EDDY STREET,4A,1766.0,1195.0,Price per Person,4,2,Room to Rent,2018-10-31T04:00:00.000Z,42.441215,-76.487267,No,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1738,207 KELVIN PLACE,APT 1,1767.0,549.0,Price per Person,4,2,Rent,2018-12-14T05:00:00.000Z,42.4564153,-76.48309183713033,Yes,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
1739,309 EDDY STREET,,1768.0,1195.0,Price per Person,4,2,Room to Rent,2018-12-28T05:00:00.000Z,42.441215,-76.48719469002495,No,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1740,612-14 STEWART AVENUE,1,1769.0,570.0,Price per Person,5,2,Share,2018-11-01T04:00:00.000Z,42.4466731,-76.49080920108386,No,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0
1741,513 Wyckoff Road,,1770.0,650.0,Price per Unit,1,1,Rent,2019-01-24T05:00:00.000Z,42.457429,-76.487762,No,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1742,108 ELSTON PLACE,3,1771.0,600.0,Price per Person,3,1,Rent,2019-06-06T04:00:00.000Z,42.4387412,-76.4900832,No,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1743,108-10 EDDY STREET,06,1772.0,825.0,Price per Person,6,2,Rent,2019-07-01T04:00:00.000Z,42.4384697,-76.48733796575954,No,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
1744,108-10 EDDY STREET,08,1773.0,725.0,Price per Person,8,2,Rent,2019-07-01T04:00:00.000Z,42.4384697,-76.48759448940875,No,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
