,listingAddress,unitNumber,listingId,rentAmount,rentType,bedrooms,bathrooms,housingType,dateAvailable,gmapLatitude,gmapLongitude,pets,air_conditioning,electricity_included,electronic_payments,furniture_included,heat_included,internet_included,kitchen_available,laundry_available,near_bus,osparking_available,osparking_included,psparking_available,water_included,faculty,ugrad,sabbatical,fa_sublet,sp_sublet,sum_sublet,short_term,graduate
29,150 TRIPHAMMER ROAD,,31.0,400.0,Price per Unit,1,1,Rent,2017-05-10T04:00:00.000Z,42.455991,-76.48153099999999,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
30,412 UNIVERSITY AVENUE,Apartment #2,32.0,2370.0,Price per Person,3,1,Rent,2021-08-12T04:00:00.000Z,42.44830982773466,-76.4926819986725,No,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
31,301 COLLEGE AVENUE,3B,33.0,855.0,Price per Person,1,1,Room to Rent,2017-03-30T04:00:00.000Z,42.44037570614531,-76.48487925522534,No,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
32,13 Chelsey Circle,,34.0,2275.0,Price per Unit,3,2,Rent,2017-03-30T04:00:00.000Z,42.48369538313164,-76.34011334358598,Yes,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
33,312 Thurston Ave,A35,35.0,540.0,Price per Person,1,2,Room to Rent,2017-05-29T04:00:00.000Z,42.454054,-76.486004,No,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0
34,324 CENTER STREET,,36.0,1000.0,Price per Unit,2,1.5,Rent,2017-03-31T04:00:00.000Z,42.43580499999999,-76.505162,Yes,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
35,307 Comstock Rd,Apt. A,37.0,800.0,Price per Unit,1,1,Rent,2017-04-01T04:00:00.000Z,42.470443,-76.48624099999999,No,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
36,4501 Krums Corners Rd,,38.0,4999.0,Price per Unit,10,4,Rent,2018-10-25T04:00:00.000Z,42.51193480063412,-76.5751142331352,Yes,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
37,232 LINDEN AVENUE,,39.0,975.0,Price per Person,5,2,Rent,2021-08-05T04:00:00.000Z,42.44101478864321,-76.4843508048935,No,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
38,232 LINDEN AVENUE,,40.0,975.0,Price per Person,2,2,Rent,2021-06-05T04:00:00.000Z,42.441048380104604,-76.48436689814758,No,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
39,115 QUARRY STREET S,,41.0,1065.0,Price per Unit,studio,1,Rent,2021-07-01T04:00:00.000Z,42.436952107422464,-76.4878752576721,No,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
40,106 VALENTINE PLACE,,42.0,2480.0,Price per Unit,2,2,Rent,2017-11-22T05:00:00.000Z,42.43633759448725,-76.48591121534423,No,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
41,206 COLLEGE AVENUE,,43.0,980.0,Price per Person,2,1,Rent,2018-08-27T04:00:00.000Z,42.440061991323574,-76.4853550846558,No,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
42,530 GREEN STREET W,,44.0,1000.0,Price per Unit,4,1.5,Rent,2017-03-31T04:00:00.000Z,42.438758,-76.505614,Yes,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
43,112 VALENTINE PLACE,,45.0,3300.0,Price per Unit,3,3,Rent,2017-05-01T04:00:00.000Z,42.43609619069236,-76.48621572883604,No,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
44,113 VALENTINE PLACE,,46.0,1770.0,Price per Unit,1,1,Rent,2017-07-01T04:00:00.000Z,42.43624409701624,-76.48570141534424,No,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
45,312-24 THURSTON AVENUE,D15,47.0,650.0,Price per Unit,1,1,Rent,2017-05-29T04:00:00.000Z,42.45429502610881,-76.48545450429913,Yes,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0
46,108-10 EDDY STREET,Apt 1,48.0,895.0,Price per Person,1,1,Rent,2019-08-01T04:00:00.000Z,42.4384919,-76.487672,Yes,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
47,140 Honness Lane,,49.0,650.0,Price per Person,2,1,Rent,2017-08-16T04:00:00.000Z,42.429942,-76.466292,Yes,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
48,506 Hanshaw Road,,50.0,1700.0,Price per Unit,3,1,Rent,2017-08-01T04:00:00.000Z,42.469099,-76.491084,No,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
49,112 SCHUYLER PLACE,,51.0,2100.0,Price per Unit,3,1.5,Rent,2018-01-05T05:00:00.000Z,42.4399123,-76.49237029999999,No,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0
50,426 Winthrop Dr,10,52.0,1095.0,Price per Unit,2,1.5,Rent,2018-08-01T04:00:00.000Z,42.47418034827609,-76.46688835767213,No,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
