listingId,address,unit_number,rent,rent_type,bedrooms,bathrooms,housing_type,date_available,latitude,longitude,pets_allowed,air_conditioning,electricity_included,electronic_payments,furniture_included,heat_included,internet_included,kitchen_available,laundry_available,near_bus,osparking_available,osparking_included,psparking_available,water_included,faculty,ugrad,sabbatical,fa_sublet,sp_sublet,sum_sublet,short_term,graduate,distance
3223.0,327 EDDY STREET,3D,1550.0,Price per Unit,0.0,1.0,Rent,2020-08-31 04:00:00,42.4416436,-76.48724578722812,0,1,0,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,693.1162446121336
3224.0,100 FAIRVIEW SQUARE,"Studio,1 and 2 bedrooms",1398.0,Price per Unit,1.0,1.0,Rent,2021-06-04 04:00:00,42.44093242852436,-76.4762356,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,0,0,0,0,1,1034.6994066301224
3225.0,324 SENECA STREET E,2,1340.0,Price per Unit,1.0,1.0,Rent,2020-08-27 04:00:00,42.440693,-76.4944202,0,0,0,0,1,1,0,1,0,1,1,0,0,1,1,0,1,0,0,0,0,1,1095.156022211125
3226.0,151-59 DRYDEN ROAD,,2550.0,Price per Unit,2.0,1.0,Room to Rent,2020-08-27 04:00:00,42.4413333,-76.48583911693716,0,1,0,1,1,1,0,1,1,1,1,1,0,1,0,0,0,1,1,0,1,0,705.5646644409392
3227.0,127 BLAIR STREET,00,6860.0,Price per Unit,7.0,3.0,Rent,2022-06-10 04:00:00,42.43892779999999,-76.4853289999574,0,0,0,1,1,0,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,1,969.8623595470365
3228.0,7 Pleasant Grove Ln,7A,1600.0,Price per Unit,2.0,1.0,Rent,2020-10-01 04:00:00,42.46365971378573,-76.4782914,0,1,0,0,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,1,1,1862.9799631493743
3229.0,118 COLLEGE AVENUE,"201, 301, 401",6900.0,Price per Unit,6.0,2.0,Rent,2021-08-15 04:00:00,42.4385075,-76.48555924544716,0,1,0,1,1,0,1,1,1,1,0,0,0,1,1,1,0,0,0,0,0,1,1017.303626488725
3230.0,118 COLLEGE AVENUE,G01,4600.0,Price per Unit,4.0,2.0,Rent,2021-07-16 04:00:00,42.4385075,-76.48519991889239,0,1,0,1,1,0,1,1,1,1,0,0,0,1,1,1,0,0,0,0,0,1,1016.3226045078165
3231.0,320 ELMWOOD AVENUE,1,950.0,Price per Unit,5.0,2.5,Rent,2021-08-16 04:00:00,42.4409724,-76.48221199999999,0,0,0,0,1,0,0,1,1,1,1,0,0,1,1,1,0,0,0,0,0,1,775.7353083899633
3232.0,325 DRYDEN ROAD,1,6825.0,Price per Unit,7.0,2.0,Rent,2021-08-16 04:00:00,42.4411026,-76.48223608976434,0,0,0,1,1,0,0,1,1,1,1,0,0,1,1,1,0,0,0,0,0,1,761.3136347625767
3233.0,205 DRYDEN ROAD,Suite 201,5300.0,Price per Unit,4.0,2.0,Rent,2021-06-01 04:00:00,42.4414485,-76.48484344444738,0,1,0,1,1,1,0,1,1,1,0,0,0,1,0,1,0,0,0,0,0,1,689.1939606664274
3234.0,205 DRYDEN ROAD,Suite 302,5380.0,Price per Unit,4.0,2.0,Rent,2021-06-01 04:00:00,42.4414485,-76.4849252983047,0,1,0,1,1,1,0,1,1,1,0,0,0,1,0,1,0,0,0,0,0,1,689.1276546435911
3235.0,111 QUARRY STREET S,#c5,1100.0,Price per Unit,0.0,1.0,Rent,2020-09-02 04:00:00,42.4368968,-76.48813028911158,0,0,0,1,1,0,1,1,1,1,0,1,0,1,1,1,1,1,1,1,0,1,1223.10065846048
3236.0,109 STATE STREET E,208,495.0,Price per Unit,0.0,1.0,Rent,2020-09-04 04:00:00,42.43974739999999,-76.49853829999999,0,0,1,1,1,1,0,1,1,1,1,0,0,1,0,0,0,1,1,0,1,0,1418.241358392023
3237.0,242 Troy Rd,,2100.0,Price per Unit,4.0,2.5,Rent,2020-11-01 04:00:00,42.3983333,-76.4761678,0,1,0,0,0,0,0,1,1,0,0,1,0,0,1,1,0,0,0,0,0,1,5530.676904908047
3238.0,511 CHESTNUT STREET,1,985.0,Price per Unit,1.0,1.0,Rent,2020-09-08 04:00:00,42.437321,-76.51927778044926,0,0,1,1,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,1,3040.4969710314354
3239.0,1 Sanctuary Drive,Apt. #2,1890.0,Price per Unit,2.0,2.5,Rent,2020-12-16 05:00:00,42.472589,-76.451065,0,1,0,1,1,0,0,1,1,1,1,1,0,0,1,1,0,0,0,0,1,1,3927.754753984866
3240.0,127 CATHERINE STREET,,700.0,Price per Unit,1.0,1.0,Room to Rent,2020-09-08 04:00:00,42.4401668,-76.4856106,0,0,0,1,0,0,0,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,833.311191681526
3241.0,119 DRYDEN ROAD,Apartment 4J,1000.0,Price per Unit,0.0,1.0,Rent,2020-09-16 04:00:00,42.44180134514284,-76.48669406777964,0,1,0,1,1,1,0,1,1,1,1,0,0,0,0,1,0,1,1,0,1,1,665.1508352914453
3242.0,110 DRYDEN ROAD,Apartment 4J,1000.0,Price per Unit,0.0,1.0,Rent,2020-09-16 04:00:00,42.44179759478264,-76.486115,0,1,0,1,1,1,0,1,1,1,1,0,0,0,0,1,0,1,1,0,1,1,657.0850996655189
3244.0,119 BLAIR STREET,2,900.0,Price per Unit,1.0,1.0,Rent,2021-06-10 04:00:00,42.4383568,-76.48578606795458,0,0,0,1,1,0,0,1,1,1,1,0,0,1,0,1,0,0,0,0,0,1,1035.0831858478691
3245.0,131 BLAIR STREET,08,7800.0,Price per Unit,8.0,4.0,Rent,2021-06-10 04:00:00,42.4391918,-76.4856557,0,0,0,1,1,0,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,1,941.7483063322758
3246.0,443 AURORA STREET N,Apt 1,1350.0,Price per Unit,2.0,1.0,Rent,2020-09-28 04:00:00,42.4446096,-76.4956399,0,1,0,0,0,1,0,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,938.5394758669813
3247.0,121 COLLEGE AVENUE,,2450.0,Price per Unit,1.0,1.0,Rent,2021-08-01 04:00:00,42.4387874,-76.48507953960515,0,1,0,1,1,1,0,1,1,1,0,0,0,1,1,1,0,0,0,0,0,1,985.0629273352176
